---------------
WORDS: formed treatment observed 

and RESULT ITEMS:
SCORE: 32.000000 | ITEM NUMBER 1 | ITEM ID: 1806507
SCORE: 32.000000 | ITEM NUMBER 2 | ITEM ID: 1032438
SCORE: 32.000000 | ITEM NUMBER 3 | ITEM ID: 1092921
SCORE: 25.000000 | ITEM NUMBER 4 | ITEM ID: 1202111
SCORE: 25.000000 | ITEM NUMBER 5 | ITEM ID: 1130029
SCORE: 25.000000 | ITEM NUMBER 6 | ITEM ID: 112710
SCORE: 25.000000 | ITEM NUMBER 7 | ITEM ID: 2229487
SCORE: 25.000000 | ITEM NUMBER 8 | ITEM ID: 315215
SCORE: 25.000000 | ITEM NUMBER 9 | ITEM ID: 2154067
SCORE: 25.000000 | ITEM NUMBER 10 | ITEM ID: 1060863
SCORE: 25.000000 | ITEM NUMBER 11 | ITEM ID: 2339748
SCORE: 25.000000 | ITEM NUMBER 12 | ITEM ID: 372522
SCORE: 25.000000 | ITEM NUMBER 13 | ITEM ID: 932780
SCORE: 25.000000 | ITEM NUMBER 14 | ITEM ID: 948187
SCORE: 21.000000 | ITEM NUMBER 15 | ITEM ID: 1052426
SCORE: 21.000000 | ITEM NUMBER 16 | ITEM ID: 2340982
SCORE: 21.000000 | ITEM NUMBER 17 | ITEM ID: 63465
SCORE: 21.000000 | ITEM NUMBER 18 | ITEM ID: 1088050
SCORE: 21.000000 | ITEM NUMBER 19 | ITEM ID: 1240633
SCORE: 21.000000 | ITEM NUMBER 20 | ITEM ID: 691615
SCORE: 21.000000 | ITEM NUMBER 21 | ITEM ID: 1201821
SCORE: 21.000000 | ITEM NUMBER 22 | ITEM ID: 2344129
SCORE: 21.000000 | ITEM NUMBER 23 | ITEM ID: 2428591
SCORE: 21.000000 | ITEM NUMBER 24 | ITEM ID: 1477729
SCORE: 21.000000 | ITEM NUMBER 25 | ITEM ID: 269043
SCORE: 21.000000 | ITEM NUMBER 26 | ITEM ID: 1127226
SCORE: 21.000000 | ITEM NUMBER 27 | ITEM ID: 1781851
SCORE: 21.000000 | ITEM NUMBER 28 | ITEM ID: 1012702
SCORE: 21.000000 | ITEM NUMBER 29 | ITEM ID: 2214672
