---------------
WORDS: formed treatment observed 

and RESULT ITEMS:
SCORE: 6.860756 | ITEM NUMBER 1 | ITEM ID: 1355422
SCORE: 6.763283 | ITEM NUMBER 2 | ITEM ID: 964525
SCORE: 6.678419 | ITEM NUMBER 3 | ITEM ID: 1840154
SCORE: 6.677535 | ITEM NUMBER 4 | ITEM ID: 2154067
SCORE: 6.570137 | ITEM NUMBER 5 | ITEM ID: 1092921
SCORE: 6.482463 | ITEM NUMBER 6 | ITEM ID: 1079695
SCORE: 6.481902 | ITEM NUMBER 7 | ITEM ID: 1032438
SCORE: 6.413075 | ITEM NUMBER 8 | ITEM ID: 2217903
SCORE: 6.346433 | ITEM NUMBER 9 | ITEM ID: 1152827
SCORE: 6.337891 | ITEM NUMBER 10 | ITEM ID: 1987909
SCORE: 6.228220 | ITEM NUMBER 11 | ITEM ID: 968434
SCORE: 6.141877 | ITEM NUMBER 12 | ITEM ID: 2205803
SCORE: 6.124497 | ITEM NUMBER 13 | ITEM ID: 1117153
SCORE: 6.106768 | ITEM NUMBER 14 | ITEM ID: 2116777
SCORE: 6.081878 | ITEM NUMBER 15 | ITEM ID: 2208762
SCORE: 6.059708 | ITEM NUMBER 16 | ITEM ID: 1820676
SCORE: 5.972684 | ITEM NUMBER 17 | ITEM ID: 1822907
SCORE: 5.911181 | ITEM NUMBER 18 | ITEM ID: 1248026
SCORE: 5.895478 | ITEM NUMBER 19 | ITEM ID: 1112132
SCORE: 5.888916 | ITEM NUMBER 20 | ITEM ID: 1949233
SCORE: 5.874611 | ITEM NUMBER 21 | ITEM ID: 1806507
SCORE: 5.853968 | ITEM NUMBER 22 | ITEM ID: 1339617
SCORE: 5.840595 | ITEM NUMBER 23 | ITEM ID: 1741319
SCORE: 5.709612 | ITEM NUMBER 24 | ITEM ID: 974027
SCORE: 5.689031 | ITEM NUMBER 25 | ITEM ID: 1420857
SCORE: 5.677242 | ITEM NUMBER 26 | ITEM ID: 1402336
SCORE: 5.651886 | ITEM NUMBER 27 | ITEM ID: 776063
SCORE: 5.642076 | ITEM NUMBER 28 | ITEM ID: 1659837
SCORE: 5.631971 | ITEM NUMBER 29 | ITEM ID: 2229487
SCORE: 5.610134 | ITEM NUMBER 30 | ITEM ID: 1334201
SCORE: 5.593068 | ITEM NUMBER 31 | ITEM ID: 91905
SCORE: 5.555301 | ITEM NUMBER 32 | ITEM ID: 2423585
SCORE: 5.536754 | ITEM NUMBER 33 | ITEM ID: 1842335
SCORE: 5.531787 | ITEM NUMBER 34 | ITEM ID: 1781851
SCORE: 5.513365 | ITEM NUMBER 35 | ITEM ID: 2284792
SCORE: 5.496193 | ITEM NUMBER 36 | ITEM ID: 1353006
SCORE: 5.492242 | ITEM NUMBER 37 | ITEM ID: 2143706
SCORE: 5.467972 | ITEM NUMBER 38 | ITEM ID: 2138095
SCORE: 5.463238 | ITEM NUMBER 39 | ITEM ID: 1694619
SCORE: 5.460233 | ITEM NUMBER 40 | ITEM ID: 760813
SCORE: 5.417295 | ITEM NUMBER 41 | ITEM ID: 932780
SCORE: 5.356367 | ITEM NUMBER 42 | ITEM ID: 1791702
SCORE: 5.339696 | ITEM NUMBER 43 | ITEM ID: 1036418
SCORE: 5.338584 | ITEM NUMBER 44 | ITEM ID: 1883518
SCORE: 5.319384 | ITEM NUMBER 45 | ITEM ID: 1815213
SCORE: 5.307651 | ITEM NUMBER 46 | ITEM ID: 932663
SCORE: 5.302378 | ITEM NUMBER 47 | ITEM ID: 1370104
SCORE: 5.297040 | ITEM NUMBER 48 | ITEM ID: 2227369
SCORE: 5.296273 | ITEM NUMBER 49 | ITEM ID: 2095706
SCORE: 5.295952 | ITEM NUMBER 50 | ITEM ID: 2100864
SCORE: 5.284131 | ITEM NUMBER 51 | ITEM ID: 1011245
SCORE: 5.276174 | ITEM NUMBER 52 | ITEM ID: 1087489
SCORE: 5.275782 | ITEM NUMBER 53 | ITEM ID: 116234
SCORE: 5.272843 | ITEM NUMBER 54 | ITEM ID: 761447
SCORE: 5.266734 | ITEM NUMBER 55 | ITEM ID: 1058404
SCORE: 5.266488 | ITEM NUMBER 56 | ITEM ID: 1408339
SCORE: 5.264617 | ITEM NUMBER 57 | ITEM ID: 1211732
SCORE: 5.259608 | ITEM NUMBER 58 | ITEM ID: 915888
SCORE: 5.251013 | ITEM NUMBER 59 | ITEM ID: 1859943
SCORE: 5.230884 | ITEM NUMBER 60 | ITEM ID: 1800055
SCORE: 5.203185 | ITEM NUMBER 61 | ITEM ID: 1205510
SCORE: 5.196811 | ITEM NUMBER 62 | ITEM ID: 1202111
SCORE: 5.191864 | ITEM NUMBER 63 | ITEM ID: 1052426
SCORE: 5.178234 | ITEM NUMBER 64 | ITEM ID: 1456308
SCORE: 5.177338 | ITEM NUMBER 65 | ITEM ID: 1746043
