---------------
WORDS: sport three terms 

and RESULT ITEMS:
SCORE: 17.026016 | ITEM NUMBER 1 | ITEM ID: 2732128
SCORE: 16.738490 | ITEM NUMBER 2 | ITEM ID: 585463
SCORE: 16.325657 | ITEM NUMBER 3 | ITEM ID: 1368709
SCORE: 16.234497 | ITEM NUMBER 4 | ITEM ID: 2523873
SCORE: 14.771503 | ITEM NUMBER 5 | ITEM ID: 2493406
SCORE: 14.420552 | ITEM NUMBER 6 | ITEM ID: 1325290
SCORE: 13.919692 | ITEM NUMBER 7 | ITEM ID: 491155
SCORE: 12.889971 | ITEM NUMBER 8 | ITEM ID: 580109
SCORE: 12.889971 | ITEM NUMBER 9 | ITEM ID: 3145528
SCORE: 12.247885 | ITEM NUMBER 10 | ITEM ID: 1591735
SCORE: 12.000204 | ITEM NUMBER 11 | ITEM ID: 580095
SCORE: 9.637801 | ITEM NUMBER 12 | ITEM ID: 2473263
SCORE: 9.620563 | ITEM NUMBER 13 | ITEM ID: 600384
SCORE: 9.620563 | ITEM NUMBER 14 | ITEM ID: 491354
SCORE: 9.571356 | ITEM NUMBER 15 | ITEM ID: 871799
SCORE: 9.267094 | ITEM NUMBER 16 | ITEM ID: 4061074
SCORE: 8.356643 | ITEM NUMBER 17 | ITEM ID: 1111126
SCORE: 8.232395 | ITEM NUMBER 18 | ITEM ID: 539860
SCORE: 5.174292 | ITEM NUMBER 19 | ITEM ID: 1218053
SCORE: 5.174292 | ITEM NUMBER 20 | ITEM ID: 2326324
SCORE: 4.246914 | ITEM NUMBER 21 | ITEM ID: 2488471
SCORE: 3.626978 | ITEM NUMBER 22 | ITEM ID: 2339759
---------------
---------------
WORDS: longer different activity 

and RESULT ITEMS:
SCORE: 13.963329 | ITEM NUMBER 1 | ITEM ID: 2160826
SCORE: 13.033020 | ITEM NUMBER 2 | ITEM ID: 1977341
SCORE: 13.016255 | ITEM NUMBER 3 | ITEM ID: 976293
SCORE: 12.992788 | ITEM NUMBER 4 | ITEM ID: 1109314
SCORE: 12.626755 | ITEM NUMBER 5 | ITEM ID: 5870853
SCORE: 12.353482 | ITEM NUMBER 6 | ITEM ID: 1098323
SCORE: 12.335730 | ITEM NUMBER 7 | ITEM ID: 1258343
SCORE: 12.231260 | ITEM NUMBER 8 | ITEM ID: 4848873
SCORE: 12.170097 | ITEM NUMBER 9 | ITEM ID: 1982176
SCORE: 12.158752 | ITEM NUMBER 10 | ITEM ID: 1533976
SCORE: 11.987926 | ITEM NUMBER 11 | ITEM ID: 373517
SCORE: 11.959172 | ITEM NUMBER 12 | ITEM ID: 1258820
SCORE: 11.928265 | ITEM NUMBER 13 | ITEM ID: 2003976
SCORE: 11.765053 | ITEM NUMBER 14 | ITEM ID: 598768
SCORE: 11.738527 | ITEM NUMBER 15 | ITEM ID: 3284055
SCORE: 11.684252 | ITEM NUMBER 16 | ITEM ID: 704480
SCORE: 11.684252 | ITEM NUMBER 17 | ITEM ID: 5748127
SCORE: 11.669923 | ITEM NUMBER 18 | ITEM ID: 2010616
SCORE: 11.663747 | ITEM NUMBER 19 | ITEM ID: 1160102
SCORE: 11.556600 | ITEM NUMBER 20 | ITEM ID: 1103008
SCORE: 11.279634 | ITEM NUMBER 21 | ITEM ID: 934801
SCORE: 11.279634 | ITEM NUMBER 22 | ITEM ID: 1721435
SCORE: 11.273957 | ITEM NUMBER 23 | ITEM ID: 1055068
SCORE: 11.265670 | ITEM NUMBER 24 | ITEM ID: 936613
SCORE: 11.260244 | ITEM NUMBER 25 | ITEM ID: 2026186
SCORE: 11.260244 | ITEM NUMBER 26 | ITEM ID: 2276152
SCORE: 11.249298 | ITEM NUMBER 27 | ITEM ID: 1147704
SCORE: 11.164771 | ITEM NUMBER 28 | ITEM ID: 3131322
SCORE: 11.138977 | ITEM NUMBER 29 | ITEM ID: 2003069
SCORE: 11.122478 | ITEM NUMBER 30 | ITEM ID: 1199024
SCORE: 11.088195 | ITEM NUMBER 31 | ITEM ID: 1985956
SCORE: 10.941654 | ITEM NUMBER 32 | ITEM ID: 277784
SCORE: 10.928101 | ITEM NUMBER 33 | ITEM ID: 421536
SCORE: 10.762429 | ITEM NUMBER 34 | ITEM ID: 652076
SCORE: 10.761792 | ITEM NUMBER 35 | ITEM ID: 970181
SCORE: 10.761792 | ITEM NUMBER 36 | ITEM ID: 1257030
SCORE: 10.761792 | ITEM NUMBER 37 | ITEM ID: 1624906
SCORE: 10.747215 | ITEM NUMBER 38 | ITEM ID: 1748127
SCORE: 10.714991 | ITEM NUMBER 39 | ITEM ID: 4766090
SCORE: 10.597566 | ITEM NUMBER 40 | ITEM ID: 349322
SCORE: 10.594420 | ITEM NUMBER 41 | ITEM ID: 1971516
SCORE: 10.594420 | ITEM NUMBER 42 | ITEM ID: 1953193
SCORE: 10.594420 | ITEM NUMBER 43 | ITEM ID: 1889432
SCORE: 10.594420 | ITEM NUMBER 44 | ITEM ID: 3233490
SCORE: 10.580835 | ITEM NUMBER 45 | ITEM ID: 1214762
SCORE: 10.580835 | ITEM NUMBER 46 | ITEM ID: 4257732
SCORE: 10.580835 | ITEM NUMBER 47 | ITEM ID: 4658734
SCORE: 10.580107 | ITEM NUMBER 48 | ITEM ID: 3299188
